Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Adaptive,CCCCCCDDDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,3,1,0,1,0,2,1
Adaptive Tit For Tat: 0.5,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
AdaptorBrief,CDDDDCDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,1,2,0,4,0
AdaptorLong,CDCDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,0,3,1,3,0
Aggravater,DDDDDDDDDD,22,15,10,2.2,1.5,1,FALSE,0,0,0,3,7,0,0,0,0,0,3,0,6,0
"Alexei: (D,)",CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
ALLCorALLD,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Alternator,CDCDCDCDCD,15,-10,10,1.5,-1,0,TRUE,5,2,3,1,4,0,2,0,3,1,0,3,0,1
Alternator Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
AntiCycler,CDDCDCCDCC,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,1,1,1,2,1,0,2,1,1
Anti Tit For Tat,CCCCDDCCCD,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,0,2,5,0,0,1,1,0,1
AON2,CCDDDDDCDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,1,2,0,3,1,2,1
Adaptive Pavlov 2006,CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
Adaptive Pavlov 2011,CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
Appeaser,CDCDDDCDCC,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,1,0,0,3,0,2,3,0,1
Arrogant QLearner,CCCCCDCCCC,10,-30,10,1,-3,0,TRUE,9,3,6,0,1,2,1,5,0,0,0,1,0,1
Average Copier,DDDDCDDDDC,19,5,10,1.9,0.5,1,FALSE,2,1,1,2,6,0,1,0,0,2,0,0,6,0
"BackStabber: (D, D)",CCCCCCDDDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,3,1,0,1,0,2,1
Better and Better,DDDDDDDDDD,22,15,10,2.2,1.5,1,FALSE,0,0,0,3,7,0,0,0,0,0,3,0,6,0
Black,CCCCCCCCCD,10,-30,10,1,-3,0,TRUE,9,3,6,0,1,2,1,6,0,0,0,0,0,1
Borufsen,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Bully,DCCCDDCCCD,14,-15,10,1.4,-1.5,0,FALSE,6,2,4,1,3,0,2,4,0,0,1,2,0,1
"Bush Mosteller: 0.5, 0.5, 3.0, 0.5",CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Calculator,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Cautious QLearner,CCCCCCCDCD,11,-25,10,1.1,-2.5,0,TRUE,8,3,5,0,2,2,1,4,1,0,0,1,0,1
Cave,CCDCCCDDDC,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,1,2,1,0,1,2,1
Champion,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Colbert,CCCCCDCCDD,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,1,1,4,1,0,1,1,0,1
CollectiveStrategy,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Contrite Tit For Tat,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Cooperator,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Cooperator Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Cycle Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Cycler CCCCCD,CCCCCDCCCC,10,-30,10,1,-3,0,TRUE,9,3,6,0,1,2,1,5,0,0,0,1,0,1
Cycler CCCD,CCCDCCCDCC,12,-25,10,1.2,-2.5,0,TRUE,8,2,6,1,1,2,0,3,2,1,0,1,0,1
Cycler CCD,CCDCCDCCDC,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,1,1,2,2,1,0,2,0,1
Cycler DC,DCDCDCDCDC,16,-10,10,1.6,-1,0,FALSE,5,1,4,2,3,0,1,0,3,2,0,3,0,1
Cycler DDC,DDCDDCDDCD,18,0,10,1.8,0,0,FALSE,3,1,2,2,5,0,1,0,2,1,1,2,2,1
Cycler CCCDCD,CCCDCDCCCD,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,0,2,4,1,1,0,1,0,1
Davis: 10,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
"DBS: 0.75, 3, 4, 3, 5",CCCCCCCCDC,11,-30,10,1.1,-3,0,TRUE,9,2,7,1,0,2,0,5,1,1,0,0,0,1
Defector,DDDDDDDDDD,22,15,10,2.2,1.5,1,FALSE,0,0,0,3,7,0,0,0,0,0,3,0,6,0
Defector Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Desperate,DCDCDDCDCD,16,-5,10,1.6,-0.5,0,FALSE,4,2,2,1,5,0,2,0,2,0,1,4,0,1
Delayed AON1,CCDCCCDCDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,1,3,0,1,2,0,1
"DoubleCrosser: (D, D)",CCCCCCDDDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,3,1,0,1,0,2,1
Doubler,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
DoubleResurrection,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
EasyGo,DCCCCCCCCC,10,-30,10,1,-3,0,FALSE,9,3,6,0,1,3,0,5,0,0,0,1,0,1
Eatherley,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
"EugineNier: (D,)",CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
Eventual Cycle Hunter,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Evolved ANN,CDDDCDDDDD,19,5,10,1.9,0.5,1,TRUE,2,1,1,2,6,0,1,0,1,1,1,0,5,0
Evolved ANN 5,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
