Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Adaptive,CCCCCCDDDD,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,3,1,2,0,0,3,0,0,0
Adaptive Tit For Tat: 0.5,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
AdaptorBrief,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
AdaptorLong,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Aggravater,DDDDDDDDDD,38,35,10,3.8,3.5,1,FALSE,0,0,0,7,3,0,0,0,0,0,7,0,2,0
"Alexei: (D,)",CCDCCDCCCD,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,4,1,0,2,2,0,0,0,1
ALLCorALLD,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Alternator,CDCDCDCDCD,29,10,10,2.9,1,1,TRUE,5,4,1,3,2,0,4,0,1,3,0,1,0,0
Alternator Hunter,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
AntiCycler,CDDCDCCDCC,27,5,10,2.7,0.5,1,TRUE,6,5,1,2,2,2,3,0,0,2,0,1,1,0
Anti Tit For Tat,CDCDDCDDDD,32,20,10,3.2,2,1,TRUE,3,3,0,4,3,0,3,0,0,0,4,2,0,0
AON2,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Adaptive Pavlov 2006,CCDCCDDDDD,32,15,10,3.2,1.5,1,TRUE,4,2,2,5,1,2,0,0,2,1,4,0,0,0
Adaptive Pavlov 2011,CCDCCDDDDD,32,15,10,3.2,1.5,1,TRUE,4,2,2,5,1,2,0,0,2,1,4,0,0,0
Appeaser,CCDDDCCCCC,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,5,0,0,1,0,2,1,0,1
Arrogant QLearner,CCCCCDCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
Average Copier,DCCDCDDCCD,30,10,10,3,1,1,FALSE,5,3,2,4,1,1,2,1,1,3,1,0,0,0
"BackStabber: (D, D)",CCCCCCCCDD,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,5,1,2,0,0,1,0,0,1
Better and Better,DDDDDDDDDD,38,35,10,3.8,3.5,1,FALSE,0,0,0,7,3,0,0,0,0,0,7,0,2,0
Black,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Borufsen,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Bully,DDCDDCDDDD,34,25,10,3.4,2.5,1,FALSE,2,2,0,5,3,0,2,0,0,0,5,2,0,0
"Bush Mosteller: 0.5, 0.5, 3.0, 0.5",DCDDDDDDDD,37,30,10,3.7,3,1,FALSE,1,0,1,7,2,0,0,0,1,1,6,0,1,0
Calculator,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Cautious QLearner,CCCCDCDCCC,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,4,2,1,0,1,0,1,0,1
Cave,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
