Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Adaptive,CCCCCCDDDD,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,2,1,0,2,0,1,1
Adaptive Tit For Tat: 0.5,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
AdaptorBrief,CCCDCDDDDC,23,0,10,2.3,0,0,TRUE,5,2,3,3,2,2,0,0,2,2,1,0,2,1
AdaptorLong,CCCDDDDCCC,20,-5,10,2,-0.5,0,TRUE,6,4,2,1,3,4,0,0,1,0,1,1,2,1
Aggravater,DDDDDDDDDD,30,25,10,3,2.5,1,FALSE,0,0,0,5,5,0,0,0,0,0,5,0,4,0
"Alexei: (D,)",CCCDCDDDCD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,2,1,0,2,2,0,0,2,1
ALLCorALLD,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Alternator,CDCDCDCDCD,23,0,10,2.3,0,0,TRUE,5,2,3,3,2,0,2,0,3,3,0,1,0,1
Alternator Hunter,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
AntiCycler,CDDCDCCDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,1,2,1,1,1,1,2,0,1
Anti Tit For Tat,CDDCDCCCDD,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,0,3,2,0,0,2,2,0,1
AON2,CCCDDDCDDD,24,5,10,2.4,0.5,1,TRUE,4,2,2,3,3,2,0,0,2,0,3,1,1,0
Adaptive Pavlov 2006,CCCDCDDDDD,24,5,10,2.4,0.5,1,TRUE,4,2,2,3,3,2,0,0,2,1,2,0,2,0
Adaptive Pavlov 2011,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Appeaser,CCCDDCDCCC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,4,0,0,2,0,1,2,0,1
Arrogant QLearner,CCCCCDCCCC,16,-20,10,1.6,-2,0,TRUE,9,5,4,0,1,5,0,2,1,0,0,1,0,1
Average Copier,DCCCCCDDCC,20,-10,10,2,-1,0,FALSE,7,3,4,2,1,3,0,2,1,2,0,0,1,1
"BackStabber: (D, D)",CCCCCCCDDD,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,3,1,0,2,0,0,1
Better and Better,DDDDDDDDDD,30,25,10,3,2.5,1,FALSE,0,0,0,5,5,0,0,0,0,0,5,0,4,0
Black,CCCCCCCDDC,19,-15,10,1.9,-1.5,0,TRUE,8,3,5,2,0,3,0,3,1,1,1,0,0,1
Borufsen,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Bully,DDDCDCCCDD,24,5,10,2.4,0.5,1,FALSE,4,2,2,3,3,0,2,2,0,0,3,2,0,0
