"","id","Human","AI","HumanAI"
"1","2b574","TF1(1)","Predator(1)","unk"
"2","3z144","Thumper/Two Tits For Tat(1)","unk","ZD-Mischief: 0.1, 0.0, 1(1)"
"3","6lk32","unk","AdaptorLong(1)","unk"
"4","7ic14","unk","unk","unk"
"5","8mh76","unk","unk","unk"
"6","9mp31","unk","unk","unk"
"7","amm45","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"8","b1462","unk","unk","unk"
"9","b8g12","EvolvedLookerUp1_1_1/Forgetful Grudger/Forgiver/Grudger/Hard Tit For Tat/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/Michaelos: (D,)/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Tricky Level Punisher/Nice Meta Winner Ensemble: 209 players(1)","Bush Mosteller: 0.5, 0.5, 3.0, 0.5/CollectiveStrategy/Evolved ANN 5/Forgetful Grudger/Forgiver/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grudger/Handshake/Hard Tit For Tat/Kluepfel/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/Michaelos: (D,)/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/RichardHufford/Spiteful Tit For Tat/TF2/Tricky Level Punisher/NMWE Long Memory: 131 players(1)","AdaptorLong/AON2/Evolved ANN/Evolved FSM 16 Noise 05/EvolvedLookerUp1_1_1/Evolved HMM 5/Forgetful Grudger/Forgiver/Grudger/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Revised Downing: True/Tricky Level Punisher(1)"
"10","epb14","Evolved FSM 4(1)","unk","unk"
"11","gdg26","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5 Noise 05/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/Math Constant Hunter/Mikkelson/Nydegger/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/$\pi$/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/$e$(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"12","h0s22","Grofman/Harrington(1)","EvolvedLookerUp1_1_1/Feld: 1.0, 0.5, 200/Joss: 0.9/NMWE Memory One: 34 players(1)","unk"
"13","i5b85","unk","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","TF3/NMWE Deterministic: 144 players(1)"
"14","k1o66","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5 Noise 05/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/Math Constant Hunter/Mikkelson/Nydegger/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","Math Constant Hunter/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"15","n1i23","unk","unk","TF3/NMWE Deterministic: 144 players(1)"
"16","nab21","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"17","oez14","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"18","p8v34","unk","SolutionB5/Suspicious Tit For Tat(1)","unk"
"19","qs924","unk","Adaptive Tit For Tat: 0.5/Borufsen/Calculator/Contrite Tit For Tat/Doubler/DoubleResurrection/Eatherley/Forgiving Tit For Tat/Graaskamp: 0.05/GraaskampKatzen/Harrington/Inverse/Naive Prober: 0.1/Omega TFT: 3, 8/Remorseful Prober: 0.1/Resurrection/Shubik/Tideman and Chieruzzi/Tit For Tat/Tranquilizer/Worse and Worse 2/ZD-GTFT-2: 0.25, 0.5/Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15/Meta Majority Memory One: 34 players/Meta Majority Long Memory: 131 players(1)","Leyvraz/Thumper/Two Tits For Tat(1)"
"20","rbq81","unk","unk","unk"
"21","s4441","unk","MoreGrofman(1)","unk"
"22","snd43","Prober 3(1)","unk","UsuallyDefects(1)"
"23","txk36","unk","Bush Mosteller: 0.5, 0.5, 3.0, 0.5/CollectiveStrategy/Evolved ANN 5/Forgetful Grudger/Forgiver/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grudger/Handshake/Hard Tit For Tat/Kluepfel/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/Michaelos: (D,)/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/RichardHufford/Spiteful Tit For Tat/TF2/Tricky Level Punisher/NMWE Long Memory: 131 players(1)","unk"
"24","v6i85","Eatherley/Tit For 2 Tats/VeryBad(1)","MoreGrofman(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"25","w9c21","unk","unk","unk"
"26","yda14","PSO Gambler Mem1/Revised Downing: True(1)","unk","EasyGo/Fool Me Forever/SolutionB1(1)"
