"","id","Human","AI","HumanAI"
"1","2b574","TF1(1)","Predator(1)","Adaptive/Cycle Hunter/EvolvedLookerUp2_2_2/PSO Gambler 2_2_2 Noise 05/ZD-Extort-2 v2: 0.125, 0.5, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players/Meta Winner: 209 players/Meta Winner Deterministic: 144 players/Meta Winner Ensemble: 209 players/Meta Winner Long Memory: 131 players/Nice Meta Winner: 209 players(0.9)"
"2","3z144","Thumper/Two Tits For Tat(1)","unk","ZD-Mischief: 0.1, 0.0, 1(1)"
"3","6lk32","Adaptive/Evolved ANN 5/Soft Go By Majority: 5/N Tit(s) For M Tat(s): 3, 2/Once Bitten(0.9)","AdaptorLong(1)","Adaptive/CollectiveStrategy/Cycle Hunter/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(0.9)"
"4","7ic14","NMWE Long Memory: 131 players(0.9)","unk","unk"
"5","8mh76","Hard Tit For 2 Tats/Leyvraz/PSO Gambler 2_2_2/Slow Tit For Two Tats 2/NMWE Finite Memory: 78 players(0.9)","Stalker: (D,)/VeryBad(0.9)","Evolved ANN 5 Noise 05/GTFT: 0.33/Risky QLearner/Soft Joss: 0.9/Tranquilizer/Worse and Worse 3/Meta Majority Memory One: 34 players/Meta Majority Finite Memory: 78 players(0.9)"
"6","9mp31","PSO Gambler 2_2_2/Meta Winner: 209 players/Meta Winner Deterministic: 144 players/Meta Winner Long Memory: 131 players/NMWE Finite Memory: 78 players/Nice Meta Winner: 209 players(0.9)","Getzler/Stalker: (D,)(0.9)","Opposite Grudger/Prober 2/Willing(0.9)"
"7","amm45","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"8","b1462","unk","unk","unk"
"9","b8g12","EvolvedLookerUp1_1_1/Forgetful Grudger/Forgiver/Grudger/Hard Tit For Tat/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/Michaelos: (D,)/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Tricky Level Punisher/Nice Meta Winner Ensemble: 209 players(1)","Bush Mosteller: 0.5, 0.5, 3.0, 0.5/CollectiveStrategy/Evolved ANN 5/Forgetful Grudger/Forgiver/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grudger/Handshake/Hard Tit For Tat/Kluepfel/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/Michaelos: (D,)/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/RichardHufford/Spiteful Tit For Tat/TF2/Tricky Level Punisher/NMWE Long Memory: 131 players(1)","AdaptorLong/AON2/Evolved ANN/Evolved FSM 16 Noise 05/EvolvedLookerUp1_1_1/Evolved HMM 5/Forgetful Grudger/Forgiver/Grudger/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Revised Downing: True/Tricky Level Punisher(1)"
"10","epb14","Evolved FSM 4(1)","General Soft Grudger: n=1,d=4,c=2/Getzler/Soft Grudger/ThueMorseInverse(0.9)","NMWE Long Memory: 131 players(0.9)"
"11","gdg26","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5 Noise 05/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/Math Constant Hunter/Mikkelson/Nydegger/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/$\pi$/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/$e$(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"12","h0s22","Grofman/Harrington(1)","EvolvedLookerUp1_1_1/Feld: 1.0, 0.5, 200/Joss: 0.9/NMWE Memory One: 34 players(1)","AdaptorLong/AON2/Adaptive Pavlov 2006/Adaptive Pavlov 2011/Evolved ANN/Evolved FSM 16/Evolved FSM 16 Noise 05/EvolvedLookerUp1_1_1/Evolved HMM 5/Forgetful Grudger/Forgiver/Grudger/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Revised Downing: True/TF3/Tricky Level Punisher/NMWE Deterministic: 144 players(0.9)"
