"","id","prisoner_strategy","rps_strategy","comments_AI_advisors","comments_human_advisors","comments_human_players","comments_human_AI_players","comments_AI_players","various_comments","age","gender","service","rank","school","years_military_experience","major","post_grad","game_theory_experience","machine_learning_experience","agree","experiment_contamination","attention_check","self_participant_vars_dump","pw_order","rps_order","consent"
"1","8mh76","try to think like the computer and what it would predict I would choose based on my previous choices","try and outthink the opponent in thinking what I would likely choose next based on my previous choices, then altering my real selection based on winning points","none","none","none","none","seemed to learn or predict my behavior within a few rounds","no. the prisoner's dilemma, game of chance, and probability made it fun.",39,"Female","Army","4","ACSC",14,"electrical engineering","MS in digital forensics and cyber security",3,2,1,"nothing","Georgia","{'pw_order': 1, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 321, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human+AI', 'third_rps_adv': 'Human'}","1","321","True"
"2","k1o66","Pursue peace since beneficial to all parties.","Examine historical behavior of opponents. Employed AI to assist, but this resulted in draws.","I was hoping it would prove more helpful than a draw due to patterns of behavior recognition.","Did not utilize the human advisor.","More random choices.","Still seemed to follow a discernable pattern of choices.","Appeared to better discern my choice and beat me.","Though this is only a small behavioral sample, I feel that effective modeling over a much larger scale would allow AI to be superior in these games.",36,"Male","Air Force","4","ACSC",16,"Management","MS in Acquistion and Contract Administration",2,2,1,"Nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 321, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human+AI', 'third_rps_adv': 'Human'}","2","321","True"
"3","w9c21","bet mostly on war against all opponents","consistency","should ID human patterns deep in the game","slightly predictable","I think they'll act and think like me","trust on AI will impact their decision making","is trying to learn my patterns","In generral, AI agents will pick up information humans wont. They can be fooled.",49,"Male","Air Force","5","AWC",19,"Electrical Engineering","M.S., PhD Electrical Engineering and Masters of Aeronautical Sciences, Masters of Science in Experimental Flight Test",2,3,1,"nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 123, 'first_rps_adv': 'Human', 'second_rps_adv': 'Human+AI', 'third_rps_adv': 'AI'}","2","123","True"
"4","v6i85","try peace first with all.  respond to war on previous turn with war on next turn.  respond to peace on previous turn with peace on next turn.  I got annoyed at the AI-only player and ended up going only war for the last several.  otherwise, I tried to follow the previous strategy.","I did about 4 cases of each of the three options (self, AI-assist, and expert), then I primarily went with the best performer from that trial.","decent","no issues","couldn't tell a difference","couldn't tell a difference","couldn't tell a difference","In simple games like this, I honestly could not tell much of a difference.  I wonder if it would have been more apparent in games with more complex moves.",37,"Male","Air Force","4","SAASS",18,"meteorology","MBA, MA in Military and Strategic Studies",3,2,1,"nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 312, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human', 'third_rps_adv': 'Human+AI'}","2","312","True"
"5","b1462","Keep track of point totals and keep points over zero","Try to be consistently inconsistent","None...I didn't use the AI advisor","None...I didn't use the human advisor","They did about the same...except don't start with Rock first","Don't always trust the computer...","They didn't do any better than humans","For a game like this, it doesn't appear to have any advantage",45,"Male","Air Force","5","AWC",26,"Aviation Management","MS Aeronautical Science",3,2,1,"nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 132, 'first_rps_adv': 'Human', 'second_rps_adv': 'AI', 'third_rps_adv': 'Human+AI'}","2","132","True"
"6","amm45","Figured that if the opponent chose War the entire time, the worst that would happen if we would both be tied for negatives, if I chose peace at any time and the opponent chose war even just once, they would win if they kept choosing war, so that became my strategy. I was not going for the most points, just wanted to have more points than my opponent.","Strategy was random. Didn't seem to make much difference which rock-paper-scissors I chose. Also, couldn't tell a difference between me choosing, another person choosing, or the AI choosing. Didn't understand what would have made the AI better/smarter than me or a random selection, nor the factors that went into the opponent choosing.","I wasn't sure what made the AI think it had more knowledge than I do, so I assumed it was random selection/chance instead of a known inside track.","I didn't feel like I received any advice from them. It seemed random.","It made me feel like we were even odds.","It made me think that if they did have help and access to superior analysis or AI, that they would win and I was at a disadvantage.","It made me feel like I would probably lose if they could detect patterns.","I liked the human, AI aided, and AI only breakouts. Good to think about. More info about the AI and how it was superior might have made me feel like it winning was more inevitable instead of random chance.",36,"Male","Air Force","4","SAASS",16,"Psychology, Philosophy","MA in Intelligence Studies",3,3,1,"Nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 312, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human', 'third_rps_adv': 'Human+AI'}","2","312","True"
"7","txk36","Once I got ahead I sought to maximize points.  The first round I wanted to reach consensus.  Against the AI player I was leery of ever choosing peace after the first round.","Always start with paper and develop strategy round by round","Should have relied on them more, but was leery when it led me astray the first time","Didn't use them","Extremely realistic","The worst of the 3","More aggressive than humans","",36,"Male","Air Force","4","ACSC",9,"BA in Social Science","JD (Law)",3,2,1,"Nothing","Georgia","{'pw_order': 1, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 321, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human+AI', 'third_rps_adv': 'Human'}","1","321","True"
"8","i5b85","I kep choosing war against the AI only one because it seemed like they were choosing war against me all the time. I started with peace intially more in the beginning to see outcomes and then when I was losing I transitioned to more war. When we were equal scoring I would chose peace for the most part.","I didn't really have one. I would randomly choose.","Thought they were smarter because they had more intelligence but did lack the experience a human would have. I thought they would think more analytically.","I thought they choose similar decisions to me and react similarily as well since we were both humans.","We were on same and even playing field.","They had more of an advantage with a different tool that wasn't a human.","They probably were more critical thinkers and guessed patterns better.","Didn't see major difference, but probably was biased towards AI being smarter since it's a program with intelligence inserted in it and not learned.",35,"Female","Air Force","4","ACSC",16,"Child Development","MS in Human Relations/Business",2,1,1,"Nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 312, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human', 'third_rps_adv': 'Human+AI'}","2","312","True"
"9","yyj35","My strategy involved understanding game theory and knowing the best possible point outcome for both parties was to select peace. When the the adversary elected to select war, my recourse was to select war in order to reach a score of 0.  Once I reached a score of 0 or better I continued with the peace option.","My strategy in the paper rock scissors game involved using the AI later in the game. If the AI gave me a loss, I went back to making the selections myself. The final game seemed to give me more draws and wins than the previous games.","It continually selected War and did better in the game of chance (paper rock scissors)","They seemed more likely to select War or make losing choices when paired with the AI advisor.","They seemed to select peace more often than when using the AI advisors.","They were more likely to select war.","They were more likely to select war.","No.",35,"Male","Air Force","4","ACSC",14,"History","Masters in Management and Leadership",3,1,1,"Nothing","Georgia","{'pw_order': 1, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 312, 'first_rps_adv': 'AI', 'second_rps_adv': 'Human', 'third_rps_adv': 'Human+AI'}","1","312","True"
"10","snd43","Minimize losses","Defeat opponent","The AI Advisor didn't appear to provide much advantage to my own game choices.","None.  I didn't rely on them much","None","None","None","None",43,"Male","Air Force","4","ACSC",16,"Political Science","MA in Strategic Intelligence",2,2,1,"nothing","Georgia","{'pw_order': 2, 'RPS_played': True, 'consent': True, 'show_PW_practice': False, 'show_RPS_practice': False, 'rps_order': 231, 'first_rps_adv': 'Human+AI', 'second_rps_adv': 'AI', 'third_rps_adv': 'Human'}","2","231","True"
