,Unnamed: 0,id,period,my.decision,my.round1decision,my.decision1,my.decision2,my.decision3,my.decision4,my.decision5,my.decision6,my.decision7,my.decision8,my.decision9,other.decision1,other.decision2,other.decision3,other.decision4,other.decision5,other.decision6,other.decision7,other.decision8,other.decision9,age,years_military_experience,game_theory_experience,machine_learning_experience,seconds_on_page,avg_time,TFT,r1,r2,delta,Adversary_AI,Adversary_Human,Adversary_Human+AI,pw_order_1,pw_order_2,rps_order_123,rps_order_132,rps_order_213,rps_order_231,rps_order_312,rps_order_321,gender_Female,gender_Male,service_Air Force,service_Army,school_ACSC,school_AWC,school_SAASS,rank_4,rank_5,rank_6,keras
0,1,2b574,1,1,1,,,,,,,,,,,,,,,,,,,35,16,3,2,22,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
1,2,2b574,1,1,1,,,,,,,,,,,,,,,,,,,35,16,3,2,22,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
2,3,2b574,1,1,1,,,,,,,,,,,,,,,,,,,35,16,3,2,22,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
3,4,2b574,10,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,35,16,3,2,14,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
4,5,2b574,10,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,35,16,3,2,14,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
5,6,2b574,10,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,35,16,3,2,14,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
6,7,2b574,2,1,1,1.0,,,,,,,,,1.0,,,,,,,,,35,16,3,2,20,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
7,8,2b574,2,0,1,1.0,,,,,,,,,1.0,,,,,,,,,35,16,3,2,20,24.0,War,0.3333333333333333,0.6666666666666666,0.9,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
8,9,2b574,2,1,1,1.0,,,,,,,,,1.0,,,,,,,,,35,16,3,2,20,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
9,10,2b574,3,0,1,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,35,16,3,2,19,24.0,War,0.3333333333333333,0.6666666666666666,0.9,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
10,11,2b574,3,0,1,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,35,16,3,2,19,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
11,12,2b574,3,1,1,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,35,16,3,2,19,24.0,War,0.3333333333333333,0.6666666666666666,0.9,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0
12,13,2b574,4,1,1,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,,,,,,,35,16,3,2,34,24.0,Peace,0.3333333333333333,0.6666666666666666,0.9,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
13,14,2b574,4,1,1,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,,,,,,,35,16,3,2,34,24.0,War,0.3333333333333333,0.6666666666666666,0.9,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
14,15,2b574,4,1,1,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,,,,,,,35,16,3,2,34,24.0,War,0.3333333333333333,0.6666666666666666,0.9,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0
