"","id","period","Adversary","my.decision","nnet","GLM","my.round1decision","my.decision1","my.decision2","my.decision3","my.decision4","my.decision5","my.decision6","my.decision7","my.decision8","my.decision9","other.decision1","other.decision2","other.decision3","other.decision4","other.decision5","other.decision6","other.decision7","other.decision8","other.decision9","pw_order","rps_order","age","gender","service","school","rank","years_military_experience","game_theory_experience","machine_learning_experience","seconds_on_page","avg_time","TFT"
"1","2b574",1,"Human","Peace","Peace","Peace",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,22,24,"Peace"
"2","2b574",1,"Human+AI","Peace","Peace","Peace",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,22,24,"Peace"
"3","2b574",1,"AI","Peace","Peace","Peace",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,22,24,"Peace"
"4","2b574",10,"Human","War","Peace","Peace",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,14,24,"Peace"
"5","2b574",10,"Human+AI","War","Peace","War",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,14,24,"Peace"
"6","2b574",10,"AI","War","Peace","War",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,14,24,"Peace"
"7","2b574",2,"Human","Peace","Peace","Peace",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,20,24,"Peace"
"8","2b574",2,"AI","War","Peace","Peace",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,20,24,"War"
"9","2b574",2,"Human+AI","Peace","Peace","Peace",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,20,24,"Peace"
"10","2b574",3,"AI","War","War","Peace",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,19,24,"War"
"11","2b574",3,"Human","War","Peace","Peace",1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,19,24,"Peace"
"12","2b574",3,"Human+AI","Peace","Peace","Peace",1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,19,24,"War"
"13","2b574",4,"Human+AI","Peace","Peace","Peace",1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,34,24,"Peace"
"14","2b574",4,"Human","Peace","War","War",1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,34,24,"War"
"15","2b574",4,"AI","Peace","War","War",1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,34,24,"War"
"16","2b574",5,"Human+AI","War","Peace","Peace",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,17,24,"Peace"
"17","2b574",5,"Human","Peace","Peace","Peace",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,17,24,"Peace"
"18","2b574",5,"AI","Peace","Peace","Peace",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,17,24,"Peace"
"19","2b574",6,"Human","War","War","Peace",1,1,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,29,24,"War"
"20","2b574",6,"AI","Peace","War","Peace",1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,29,24,"Peace"
"21","2b574",6,"Human+AI","Peace","War","War",1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,29,24,"War"
"22","2b574",7,"Human","War","War","War",1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,15,24,"War"
"23","2b574",7,"AI","War","War","Peace",1,1,1,1,1,1,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,15,24,"War"
"24","2b574",7,"Human+AI","War","War","Peace",1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,15,24,"Peace"
"25","2b574",8,"Human+AI","War","War","War",1,0,0,0,0,0,0,0,NA,NA,1,1,1,1,1,1,1,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,42,24,"Peace"
"26","2b574",8,"AI","War","War","War",1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,42,24,"War"
"27","2b574",8,"Human","War","War","War",1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,42,24,"War"
"28","2b574",9,"Human+AI","War","War","War",1,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,28,24,"Peace"
"29","2b574",9,"Human","Peace","War","War",1,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,28,24,"Peace"
"30","2b574",9,"AI","War","Peace","War",1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,"1","213",35,"Male","Air Force","ACSC","4",16,3,2,28,24,"War"
"31","3z144",1,"Human","Peace","Peace","Peace",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","213",33,"Male","Army","ACSC","4",14,3,3,17,13.7,"Peace"
